counter,red_count,green_count,blue_count,total_count,red_value,green_value,blue_value,total_value
0,0,0,0,0,0,0,0,0
40530,1,0,0,1,5,0,0,5
42622,1,1,0,2,5,10,0,15
51986,1,1,1,3,5,10,15,30
67595,2,1,1,4,10,10,15,35
74733,2,1,2,5,10,10,30,50
87288,2,2,2,6,10,20,30,60
104790,3,2,2,7,15,20,30,65
127515,3,2,3,8,15,20,45,80
129342,3,3,3,9,15,30,45,90
143880,3,3,4,10,15,30,60,105
152407,3,3,5,11,15,30,75,120
167771,3,3,6,12,15,30,90,135
170167,3,4,6,13,15,40,90,145
176503,3,4,7,14,15,40,105,160
191411,3,4,8,15,15,40,120,175
193323,3,4,9,16,15,40,135,190
