counter,red_count,green_count,blue_count,total_count,red_value,green_value,blue_value,total_value
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38000,0.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0
39000,0.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0
40000,0.0,1.0,1.0,2.0,0.0,10.0,15.0,25.0
41000,0.0,1.0,1.0,2.0,0.0,10.0,15.0,25.0
42000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
43000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
44000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
45000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
46000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
47000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
48000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
49000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
50000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
51000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
52000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
53000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
54000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
55000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
56000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
57000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
58000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
59000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
60000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
61000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
62000,0.0,2.0,1.0,3.0,0.0,20.0,15.0,35.0
63000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
64000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
65000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
66000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
67000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
68000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
69000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
70000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
71000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
72000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
73000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
74000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
75000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
76000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
77000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
78000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
79000,0.0,2.0,2.0,4.0,0.0,20.0,30.0,50.0
80000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
81000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
82000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
83000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
84000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
85000,0.0,2.0,3.0,5.0,0.0,20.0,45.0,65.0
86000,0.0,3.0,3.0,6.0,0.0,30.0,45.0,75.0
87000,0.0,3.0,3.0,6.0,0.0,30.0,45.0,75.0
88000,0.0,3.0,3.0,6.0,0.0,30.0,45.0,75.0
89000,0.0,3.0,3.0,6.0,0.0,30.0,45.0,75.0
90000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
91000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
92000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
93000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
94000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
95000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
96000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
97000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
98000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
99000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
100000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
101000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
102000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
103000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
104000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
105000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
106000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
107000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
108000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
109000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
110000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
111000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
112000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
113000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
114000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
115000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
116000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
117000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
118000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
119000,0.0,4.0,3.0,7.0,0.0,40.0,45.0,85.0
120000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
121000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
122000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
123000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
124000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
125000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
126000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
127000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
128000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
129000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
130000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
131000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
132000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
133000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
134000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
135000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
136000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
137000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
138000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
139000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
140000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
141000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
142000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
143000,0.0,4.0,4.0,8.0,0.0,40.0,60.0,100.0
144000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
145000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
146000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
147000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
148000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
149000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
150000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
151000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
152000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
153000,1.0,4.0,4.0,9.0,5.0,40.0,60.0,105.0
154000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
155000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
156000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
157000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
158000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
159000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
160000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
161000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
162000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
163000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
164000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
165000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
166000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
167000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
168000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
169000,1.0,4.0,5.0,10.0,5.0,40.0,75.0,120.0
170000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
171000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
172000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
173000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
174000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
175000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
176000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
177000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
178000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
179000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
180000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
181000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
182000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
183000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
184000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
185000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
186000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
187000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
188000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
189000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
190000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
191000,1.0,5.0,5.0,11.0,5.0,50.0,75.0,130.0
192000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
193000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
194000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
195000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
196000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
197000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
198000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
199000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
200000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
201000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
202000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
203000,1.0,5.0,6.0,12.0,5.0,50.0,90.0,145.0
204000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
205000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
206000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
207000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
208000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
209000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
210000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
211000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
212000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
213000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
214000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
215000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
216000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
217000,1.0,6.0,6.0,13.0,5.0,60.0,90.0,155.0
